DEMO,male|man|female|woman|child|infant
DIAG,diagnosed|caused|case
DRUG,antibiotic|antibiotics|antihistamines|steroids
HEAD,case study|case presentation|case report|background|introduction|methods|discussion|conclusions|conclusion|objective
LABS,laboratory|values
LIFE,exposure
OUTC,active|alive|autopsy|death|died|discharged|free of symptoms|outpatient|recovered
PAST,allergy|previously|history of
PATH,showed
PROC,demonstrated
SYMP,presented
TREA,performed|treatment
STRT,report|we present|we report
